user_id,recency,frequency,monetary,avg_txn,last_city,fraud_txns,income_band,age,R_score,F_score,M_score,RFM_score,cluster,persona
U00000,32,48,86013.94,1791.9570833333335,Mumbai,0,high,23,1,4,3,8,3,At Risk
U00001,28,29,145676.47999999998,5023.326896551724,Surat,1,low,37,2,1,4,7,4,Loyal Customers
U00002,3,43,40464.86,941.0432558139535,Pune,0,high,28,5,3,1,9,1,Dormant
U00003,62,37,127065.48999999999,3434.202432432432,Bangalore,1,high,27,1,1,4,6,0,Occasional
U00004,8,43,44923.62,1044.7353488372094,Delhi,0,low,24,4,3,1,8,1,Dormant
U00005,5,46,134416.16,2922.0904347826086,Surat,1,low,35,4,4,4,12,3,At Risk
U00006,17,59,76836.27,1302.3096610169491,Delhi,0,high,23,2,5,3,10,3,At Risk
U00007,13,40,252771.18,6319.2795,Ahmedabad,3,low,48,3,2,5,10,4,Loyal Customers
U00008,38,26,35558.91,1367.6503846153848,Delhi,0,low,39,1,1,1,3,0,Occasional
U00009,4,40,122093.07,3052.32675,Ahmedabad,1,mid,49,5,2,4,11,4,Loyal Customers
U00010,11,52,52345.630000000005,1006.6467307692309,Delhi,0,low,31,3,5,2,10,3,At Risk
U00011,13,44,59465.61,1351.4911363636363,Kolkata,0,low,28,3,3,2,8,1,Dormant
U00012,24,35,39305.19,1123.0054285714286,Hyderabad,0,mid,28,2,1,1,4,1,Dormant
U00013,3,49,65855.96,1343.9991836734696,Ahmedabad,0,low,38,5,5,3,13,3,At Risk
U00014,43,35,153618.43,4389.098,Kolkata,1,mid,29,1,1,4,6,4,Loyal Customers
U00015,1,49,150902.38,3079.6404081632654,Ahmedabad,1,high,40,5,5,4,14,3,At Risk
U00016,2,42,172604.45,4109.629761904762,Ahmedabad,1,high,45,5,3,5,13,2,Champions
U00017,5,49,48294.89,985.61,Ahmedabad,0,low,26,4,5,1,10,3,At Risk
U00018,10,55,79115.58,1438.465090909091,Kolkata,0,low,40,3,5,3,11,3,At Risk
U00019,3,52,61364.24,1180.0815384615385,Bangalore,0,mid,28,5,5,2,12,3,At Risk
U00020,30,40,101371.32,2534.2830000000004,Jaipur,1,high,51,1,2,4,7,1,Dormant
U00021,8,45,201984.24,4488.538666666666,Hyderabad,1,mid,32,4,4,5,13,2,Champions
U00022,32,48,84338.95999999999,1757.0616666666665,Hyderabad,0,high,35,1,4,3,8,3,At Risk
U00023,49,38,41410.060000000005,1089.7384210526318,Surat,0,high,26,1,2,1,4,0,Occasional
U00024,14,44,236172.93,5367.56659090909,Pune,2,low,37,3,3,5,11,2,Champions
U00025,32,24,20164.45,840.1854166666667,Delhi,0,mid,46,1,1,1,3,0,Occasional
U00026,1,56,75010.69,1339.4766071428571,Chennai,0,high,36,5,5,3,13,3,At Risk
U00027,34,49,253523.33999999997,5173.945714285714,Ahmedabad,3,low,25,1,5,5,11,2,Champions
U00028,11,40,68589.14,1714.7285,Delhi,1,mid,42,3,2,3,8,1,Dormant
U00029,7,49,78208.35,1596.0887755102042,Ahmedabad,0,low,26,4,5,3,12,3,At Risk
U00030,6,48,147372.93,3070.269375,Kolkata,1,low,42,4,4,4,12,3,At Risk
U00031,28,35,128391.86000000002,3668.3388571428577,Hyderabad,1,high,47,2,1,4,7,4,Loyal Customers
U00032,2,37,180031.78,4865.723783783784,Delhi,1,mid,31,5,1,5,11,4,Loyal Customers
U00033,6,42,103702.29,2469.1021428571426,Delhi,1,high,37,4,3,4,11,3,At Risk
U00034,12,45,122196.85,2715.4855555555555,Mumbai,1,high,38,3,4,4,11,3,At Risk
U00035,6,24,27889.82,1162.0758333333333,Ahmedabad,0,high,49,4,1,1,6,1,Dormant
U00036,39,43,117984.64999999998,2743.8290697674415,Surat,1,low,45,1,3,4,8,0,Occasional
U00037,9,41,38079.11,928.7587804878049,Ahmedabad,0,mid,54,4,2,1,7,1,Dormant
U00038,9,31,31728.59,1023.5029032258064,Hyderabad,0,low,25,4,1,1,6,1,Dormant
U00039,9,58,187666.36,3235.626896551724,Hyderabad,2,high,32,4,5,5,14,2,Champions
U00040,8,37,110708.75,2992.1283783783783,Jaipur,1,mid,26,4,1,4,9,1,Dormant
U00041,3,46,76154.62999999999,1655.5354347826085,Bangalore,1,high,51,5,4,3,12,3,At Risk
U00042,4,43,51474.56,1197.0827906976745,Chennai,0,high,22,5,3,2,10,3,At Risk
U00043,13,53,62150.75,1172.6556603773586,Jaipur,0,high,39,3,5,2,10,3,At Risk
U00044,21,32,133896.86,4184.276875,Pune,1,mid,29,2,1,4,7,4,Loyal Customers
U00045,37,41,57827.18,1410.419024390244,Pune,0,mid,32,1,2,2,5,0,Occasional
U00046,60,40,49185.58,1229.6395,Delhi,0,high,38,1,2,2,5,0,Occasional
U00047,4,27,143940.48,5331.128888888889,Bangalore,1,low,54,5,1,4,10,4,Loyal Customers
U00048,2,56,120215.15,2146.699107142857,Chennai,1,high,54,5,5,4,14,3,At Risk
U00049,3,39,42717.880000000005,1095.3302564102564,Ahmedabad,0,mid,31,5,2,1,8,1,Dormant
U00050,8,49,57651.2,1176.5551020408163,Delhi,0,low,55,4,5,2,11,3,At Risk
U00051,28,46,136737.93000000002,2972.5636956521744,Mumbai,2,mid,42,2,4,4,10,3,At Risk
U00052,46,55,58900.58,1070.9196363636363,Bangalore,0,mid,29,1,5,2,8,3,At Risk
U00053,106,35,159620.13,4560.575142857143,Jaipur,1,low,37,1,1,4,6,0,Occasional
U00054,8,44,43915.22,998.0731818181819,Mumbai,0,low,27,4,3,1,8,1,Dormant
U00055,5,44,40057.57,910.3993181818182,Ahmedabad,0,high,26,4,3,1,8,1,Dormant
U00056,19,44,68011.37,1545.7129545454545,Bangalore,0,high,30,2,3,3,8,1,Dormant
U00057,37,40,41624.88,1040.6219999999998,Bangalore,0,mid,32,1,2,1,4,0,Occasional
U00058,10,46,167691.52000000002,3645.467826086957,Hyderabad,1,low,49,3,4,5,12,2,Champions
U00059,15,40,46646.46,1166.1615,Ahmedabad,0,high,34,3,2,1,6,1,Dormant
U00060,5,39,290535.52,7449.628717948718,Pune,2,high,47,4,2,5,11,2,Champions
U00061,10,43,83790.55,1948.617441860465,Delhi,1,high,50,3,3,3,9,3,At Risk
U00062,24,32,25466.7,795.834375,Mumbai,0,low,29,2,1,1,4,1,Dormant
U00063,44,50,209565.15,4191.303,Jaipur,1,mid,26,1,5,5,11,2,Champions
U00064,13,43,54248.01,1261.5816279069768,Ahmedabad,0,high,36,3,3,2,8,1,Dormant
U00065,12,43,52480.74,1220.4823255813953,Kolkata,0,low,22,3,3,2,8,1,Dormant
U00066,6,39,28911.7,741.3256410256411,Bangalore,0,low,36,4,2,1,7,1,Dormant
U00067,11,47,96066.45999999999,2043.967234042553,Delhi,0,low,43,3,4,4,11,3,At Risk
U00068,58,45,99611.56,2213.590222222222,Ahmedabad,1,mid,37,1,4,4,9,0,Occasional
U00069,3,33,43409.54,1315.4406060606061,Hyderabad,0,high,35,5,1,1,7,1,Dormant
U00070,32,42,55109.54,1312.1319047619047,Kolkata,0,low,52,1,3,2,6,0,Occasional
U00071,9,43,56264.29,1308.4718604651164,Kolkata,0,low,48,4,3,2,9,1,Dormant
U00072,21,50,76213.78,1524.2756,Jaipur,0,high,28,2,5,3,10,3,At Risk
U00073,24,43,60122.67,1398.2016279069767,Chennai,0,mid,44,2,3,2,7,1,Dormant
U00074,12,47,120658.16,2567.1948936170215,Bangalore,1,high,51,3,4,4,11,3,At Risk
U00075,12,49,54393.97,1110.0810204081633,Surat,0,low,28,3,5,2,10,3,At Risk
U00076,6,42,42169.79,1004.042619047619,Chennai,0,low,43,4,3,1,8,1,Dormant
U00077,1,40,132729.16,3318.2290000000003,Hyderabad,1,low,34,5,2,4,11,4,Loyal Customers
U00078,81,42,234769.63,5589.753095238096,Delhi,2,low,50,1,3,5,9,4,Loyal Customers
U00079,2,43,39094.28,909.1693023255814,Kolkata,0,mid,33,5,3,1,9,1,Dormant
U00080,26,48,74189.9,1545.6229166666665,Delhi,0,low,37,2,4,3,9,3,At Risk
U00081,19,48,162236.02,3379.9170833333333,Delhi,1,low,28,2,4,4,10,3,At Risk
U00082,1,36,135423.12,3761.753333333333,Jaipur,1,low,22,5,1,4,10,4,Loyal Customers
U00083,8,48,203148.96,4232.2699999999995,Pune,1,mid,32,4,4,5,13,2,Champions
U00084,26,50,272610.94,5452.2188,Bangalore,2,low,52,2,5,5,12,2,Champions
U00085,1,40,200694.76,5017.369000000001,Surat,2,low,25,5,2,5,12,2,Champions
U00086,14,39,46712.75,1197.7628205128206,Delhi,0,mid,22,3,2,1,6,1,Dormant
U00087,39,51,204580.06000000003,4011.3737254901966,Chennai,1,mid,51,1,5,5,11,2,Champions
U00088,5,48,224533.93,4677.790208333333,Ahmedabad,2,low,53,4,4,5,13,2,Champions
U00089,18,49,70656.94,1441.9783673469387,Bangalore,0,low,40,2,5,3,10,3,At Risk
